jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
3,54,3557.78,605.81,19.73,14.31,0,282.33
5,54,3340.31,1313.45,13.37,14.09,0,188.46
10,54,1420.67,2058.95,18.92,16.03,0,303.39
16,54,2075.31,2009.14,16.93,13.05,0,220.93
25,54,2493.34,1162.07,14.22,14.85,0,211.16
29,54,2115.18,799.47,23.64,27.2,0,642.97
4,54,2416.94,1777.86,20.64,25.62,0,528.94
1,55,1976.87,1731.0,20.77,18.63,0,386.93
2,55,3054.9,1677.82,15.79,19.85,0,313.46
3,55,3561.54,604.9,20.15,14.74,0,297.07
5,55,3342.6,1315.01,13.65,14.33,0,195.6
10,55,1420.99,2059.01,19.08,16.16,0,308.22
16,55,2075.6,2009.72,17.4,13.43,0,233.79
25,55,2498.35,1163.54,14.01,14.35,0,201.06
29,55,2115.68,797.32,23.07,26.39,0,608.86
4,55,2418.24,1775.46,21.15,26.45,0,559.39
1,56,1979.88,1731.29,20.32,18.32,0,372.22
2,56,3054.99,1679.85,14.99,18.86,0,282.7
3,56,3564.63,604.27,20.79,15.42,0,320.45
5,56,3344.82,1316.1,14.08,14.83,0,208.8
10,56,1421.19,2058.69,19.14,16.2,0,309.93
16,56,2075.93,2009.45,17.35,13.39,0,232.17
25,56,2500.91,1165.14,14.3,14.69,0,210.12
29,56,2115.74,794.74,23.99,27.4,0,657.3
4,56,2419.36,1772.99,20.65,25.74,0,531.38
1,57,1982.74,1731.16,18.83,16.76,0,315.66
2,57,3055.88,1681.88,15.47,19.71,0,304.97
3,57,3567.62,604.0,20.92,15.73,0,329.16
5,57,3347.21,1317.23,15.57,16.58,0,258.15
10,57,1421.5,2058.76,18.74,15.86,0,297.19
16,57,2075.97,2008.66,16.93,13.0,0,220.16
25,57,2502.98,1166.5,14.07,14.48,0,203.68
29,57,2115.27,791.53,23.03,26.26,0,604.74
4,57,2420.4,1770.69,20.25,25.22,0,510.76
1,58,1985.66,1731.81,18.01,15.83,0,285.26
2,58,3056.31,1684.06,15.68,20.19,0,316.5
3,58,3571.51,603.73,21.32,16.24,0,346.18
5,58,3350.18,1321.51,16.35,17.7,0,289.36
10,58,1422.19,2059.32,18.96,16.07,0,304.65
16,58,2076.04,2008.86,17.05,13.04,0,222.34
25,58,2505.57,1168.23,14.02,14.45,0,202.54
29,58,2115.67,789.44,23.32,26.43,0,616.29
4,58,2421.9,1768.75,20.19,25.02,0,505.06
1,59,1988.74,1733.32,17.47,15.07,0,263.31
2,59,3055.78,1686.04,14.93,19.32,0,288.52
3,59,3574.54,603.64,21.51,16.41,0,353.04
5,59,3353.12,1324.17,14.94,16.13,0,241.09
10,59,1422.16,2060.26,19.18,16.27,0,312.15
