frame_idx,time_s,balisee_id,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px
4264,142.27561,Balisee_5,1165.27,968.53,21.65,20.01,433.18,519
4265,142.30898,Balisee_3,2752.95,1187.38,26.32,18.8,494.71,485
4265,142.30898,Balisee_4,1506.55,1719.45,21.48,21.88,469.92,456
4265,142.30898,Balisee_2,1079.51,1682.15,14.97,19.21,287.43,353
4265,142.30898,Balisee_5,1164.99,968.69,21.79,20.57,448.27,537
4266,142.34234,Balisee_3,2752.93,1187.48,26.25,18.84,494.61,472
4266,142.34234,Balisee_4,1507.13,1719.44,21.18,21.72,460.02,457
4266,142.34234,Balisee_2,1079.93,1681.94,15.03,19.28,289.77,355
4266,142.34234,Balisee_5,1164.92,968.9,22.11,20.99,464.02,545
4267,142.37571,Balisee_3,2752.92,1187.5,26.25,18.81,493.85,480
4267,142.37571,Balisee_4,1507.53,1719.13,21.74,22.8,495.64,470
4267,142.37571,Balisee_2,1080.38,1681.67,15.28,19.57,299.12,355
4267,142.37571,Balisee_5,1164.73,969.13,22.48,21.09,474.18,564
4268,142.40908,Balisee_3,2752.85,1187.53,26.14,18.79,491.13,474
4268,142.40908,Balisee_4,1507.89,1718.76,21.95,23.08,506.78,487
4268,142.40908,Balisee_2,1080.84,1681.46,15.42,19.95,307.58,357
4268,142.40908,Balisee_5,1164.46,968.9,22.3,20.82,464.32,552
4269,142.44244,Balisee_3,2752.79,1187.43,26.08,18.65,486.25,473
4269,142.44244,Balisee_4,1508.46,1718.63,21.83,23.46,512.15,482
4269,142.44244,Balisee_5,1164.38,968.77,21.89,20.83,456.0,544
4269,142.44244,Balisee_2,1080.97,1681.39,15.58,19.78,308.25,371
4270,142.47581,Balisee_3,2752.87,1187.49,26.21,18.79,492.41,481
4270,142.47581,Balisee_4,1508.87,1718.44,22.23,23.52,522.81,495
4270,142.47581,Balisee_5,1164.64,968.66,21.97,20.43,448.99,533
4270,142.47581,Balisee_2,1081.16,1681.21,15.6,19.68,307.03,368
4271,142.50918,Balisee_3,2752.77,1187.58,25.98,18.74,486.75,481
4271,142.50918,Balisee_5,1164.76,968.52,21.99,20.17,443.36,537
4271,142.50918,Balisee_4,1509.21,1718.21,22.22,23.64,525.23,507
4271,142.50918,Balisee_2,1081.32,1681.02,15.17,19.86,301.3,361
4272,142.54254,Balisee_3,2752.62,1187.62,25.94,18.83,488.53,486
4272,142.54254,Balisee_4,1509.68,1718.13,22.57,23.87,538.87,517
4272,142.54254,Balisee_2,1081.55,1681.0,14.99,19.63,294.37,359
4272,142.54254,Balisee_5,1164.93,968.51,21.53,20.33,437.62,535
4273,142.57591,Balisee_3,2752.65,1187.72,25.96,18.82,488.58,491
4273,142.57591,Balisee_4,1510.13,1718.06,22.25,23.68,526.9,539
4273,142.57591,Balisee_2,1081.69,1681.0,14.78,19.5,288.27,363
