frame_idx,time_s,jelly_id,x_center,y_center,width,height,bbox_area_px
384,12.8128,44,3286.38,1615.45,26.76,20.07,537.06
384,12.8128,38,1766.62,2131.52,16.03,15.5,248.48
384,12.8128,1,3079.32,595.1,27.19,28.31,769.64
390,13.013,2,2761.74,454.25,23.03,18.97,436.82
390,13.013,4,2802.51,1391.07,21.15,19.39,410.09
390,13.013,44,3288.06,1614.86,26.95,20.22,545.14
390,13.013,38,1767.48,2132.1,16.97,16.63,282.29
390,13.013,1,3078.35,597.14,27.33,28.65,783.08
390,13.013,21,1740.01,876.73,20.85,14.07,293.37
396,13.2132,2,2759.88,457.06,23.94,19.92,476.88
396,13.2132,4,2804.31,1390.23,20.96,19.53,409.29
396,13.2132,44,3290.0,1614.45,28.01,21.12,591.67
396,13.2132,38,1767.58,2131.51,16.34,16.09,262.96
396,13.2132,1,3076.88,599.36,27.04,28.64,774.5
396,13.2132,21,1742.58,876.84,21.5,14.51,311.93
402,13.4134,2,2758.23,458.4,23.45,19.72,462.47
402,13.4134,4,2805.61,1389.69,20.31,19.22,390.46
402,13.4134,44,3290.77,1614.1,27.29,20.69,564.77
402,13.4134,38,1766.6,2130.53,16.19,15.98,258.8
402,13.4134,1,3075.46,601.18,26.6,28.33,753.7
402,13.4134,21,1744.94,876.99,21.71,14.62,317.32
408,13.6136,2,2755.91,459.29,22.06,18.76,413.8
408,13.6136,4,2806.13,1388.67,19.9,19.03,378.72
408,13.6136,44,3291.01,1613.87,28.04,21.43,600.88
408,13.6136,38,1764.75,2128.5,15.68,15.43,241.85
408,13.6136,1,3072.62,603.11,26.09,27.85,726.85
408,13.6136,21,1746.55,876.81,21.6,14.51,313.4
414,13.8138,2,2752.57,459.96,20.79,17.68,367.53
414,13.8138,4,2805.29,1387.01,20.67,20.12,415.85
414,13.8138,44,3290.28,1614.67,28.31,21.79,616.77
414,13.8138,38,1762.37,2126.45,16.03,15.7,251.68
414,13.8138,1,3068.97,604.89,26.54,28.51,756.65
414,13.8138,21,1746.47,876.35,21.18,14.18,300.39
420,14.014,2,2747.71,460.23,20.62,17.55,361.8
420,14.014,4,2802.54,1384.94,19.87,19.51,387.65
420,14.014,44,3288.56,1614.44,28.1,21.81,612.8
420,14.014,38,1758.23,2125.17,16.27,15.95,259.46
420,14.014,1,3063.39,606.38,26.21,28.32,742.31
420,14.014,21,1744.57,875.18,22.04,14.79,326.02
426,14.2142,2,2740.3,460.1,20.57,17.41,358.19
426,14.2142,4,2797.44,1382.53,19.66,19.67,386.79
426,14.2142,44,3284.56,1612.94,28.56,22.4,639.95
426,14.2142,38,1751.98,2124.42,17.39,17.03,296.06
432,14.4144,44,3277.58,1611.21,27.64,21.8,602.42
606,20.2202,280,1808.96,15.27,19.28,27.59,532.05
612,20.4204,280,1810.61,12.3,16.67,23.7,395.07
618,20.6206,280,1811.48,13.89,18.95,26.8,507.79
624,20.8208,301,3236.4,720.42,20.27,24.21,490.59
756,25.2252,471,3053.76,1362.03,23.2,22.83,529.67
756,25.2252,475,1510.98,1506.74,18.35,16.78,308.04
762,25.4254,471,3050.78,1356.87,22.89,22.49,514.62
768,25.6256,471,3047.06,1352.04,23.46,23.03,540.34
774,25.8258,471,3038.01,1347.45,23.98,23.5,563.43
936,31.2312,627,2052.18,1166.13,24.6,19.24,473.24
942,31.4314,627,2045.31,1166.95,23.52,18.38,432.14
948,31.6316,627,2038.18,1168.68,22.59,17.6,397.63
948,31.6316,642,1961.51,1706.18,17.72,19.64,348.04
954,31.8318,627,2029.98,1172.39,23.85,18.53,441.96
960,32.032,627,2021.87,1178.05,24.15,18.75,452.64
966,32.2322,627,2014.68,1185.8,23.95,18.53,443.97
972,32.4324,627,2008.78,1194.82,23.99,18.44,442.29
1038,34.6346,714,1975.52,1374.67,24.83,18.37,456.23
1038,34.6346,715,1894.51,1874.97,12.07,14.96,180.53
1038,34.6346,716,3116.66,1950.45,17.91,17.42,312.02
1038,34.6346,717,918.97,1656.43,21.66,20.99,454.64
1044,34.8348,714,1976.32,1377.23,24.76,18.34,454.05
1044,34.8348,715,1895.16,1875.26,11.88,14.71,174.83
1044,34.8348,716,3115.99,1953.05,18.12,17.62,319.15
1044,34.8348,717,916.35,1660.2,23.33,22.65,528.46
1050,35.035,714,1981.8,1379.22,25.48,18.89,481.31
1050,35.035,715,1900.45,1875.12,11.86,14.66,173.85
1050,35.035,716,3120.84,1955.81,17.55,17.01,298.63
1050,35.035,717,917.25,1663.79,22.83,22.2,506.89
1050,35.035,723,384.46,1628.91,23.58,17.82,420.18
1056,35.2352,717,926.21,1666.28,23.11,22.54,520.83
1098,36.6366,764,2145.97,1370.97,21.29,18.8,400.33
1098,36.6366,765,3285.1,1954.95,17.35,16.5,286.22
1098,36.6366,767,169.32,1090.91,20.52,17.75,364.24
1098,36.6366,769,1045.89,1672.71,20.01,23.21,464.39
1104,36.8368,764,2151.63,1369.85,23.15,20.47,473.86
1104,36.8368,765,3290.51,1954.96,17.48,16.64,290.83
1104,36.8368,767,170.79,1090.52,19.64,17.02,334.32
1104,36.8368,769,1047.26,1672.68,19.48,22.61,440.52
1104,36.8368,770,2069.12,1853.39,18.49,14.89,275.33
1104,36.8368,771,509.93,1634.2,20.97,15.7,329.32
1110,37.037,764,2156.94,1366.84,22.96,20.31,466.38
1110,37.037,765,3295.72,1955.67,17.63,16.81,296.48
1110,37.037,767,172.0,1089.81,19.05,16.5,314.28
